Bowler,Overs,Madiens,Runs,Wickets,Wides,No Balls,Hattricks,Dot Balls,Economy
Wesika,4,3,2,1,0,0,0,21,0.50
Desi,3,1,10,1,1,0,0,14,3.33
Talia,4,0,20,2,1,0,0,12,5.00
Yoland,4,0,16,3,3,0,0,17,4.00
Ariani,2.3,0,18,3,4,0,0,8,7.20
